Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0nmqpBR1Dp25Fy9ibA4JTM,"Infinite","Cracked","StreamBeats by Harris Heller",2021-07-14,133269,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.802,0.487,1,-12.196,0,0.0505,0.0359,0.893,0.096,0.0926,104.012,4
spotify:track:08KXphrI0LDp00S669AHa2,"Lead Feathers","Cracked","StreamBeats by Harris Heller",2021-07-14,155031,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.719,0.655,11,-7.028,0,0.0826,0.00646,0.818,0.29,0.625,161.006,4
spotify:track:2CeWy5wC6S1rfNiqI9AsJe,"Reverie","Cracked","StreamBeats by Harris Heller",2021-07-14,147804,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.792,0.357,1,-9.41,1,0.101,0.131,0.612,0.108,0.48,81.997,4
spotify:track:4f7SJlopJSkR4MdmwsofE2,"Grindin","Cracked","StreamBeats by Harris Heller",2021-07-14,134285,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.698,0.747,1,-7.505,1,0.061,0.000997,0.791,0.098,0.53,167.984,4
spotify:track:6bQoUAh1460g3QylxBhvv3,"Away We Go","Cracked","StreamBeats by Harris Heller",2021-07-14,139354,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.639,0.495,10,-11.4,0,0.0403,0.00304,0.922,0.2,0.415,155.024,4
spotify:track:5I36BtQRpveYoXkEFX5DGJ,"Lowfly","Cracked","StreamBeats by Harris Heller",2021-07-14,158048,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.686,0.468,3,-11.441,0,0.0501,0.0644,0.832,0.481,0.22,82.005,4
spotify:track:77Z1xfkhnqZwsXwZs4XGgi,"Legend Has It","Cracked","StreamBeats by Harris Heller",2021-07-14,167710,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.616,0.652,8,-5.683,1,0.0914,0.000157,0.802,0.129,0.68,166.337,4
spotify:track:5yDTxL2Qao3AE9ohT9WNqM,"Lucky Stars","Cracked","StreamBeats by Harris Heller",2021-07-14,190769,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.387,0.552,8,-5.645,0,0.0405,0.00277,0.863,0.161,0.566,155.827,4
spotify:track:3AhV6N7QE375KEdi4kGwo1,"Close One","Cracked","StreamBeats by Harris Heller",2021-07-14,140307,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.775,0.447,4,-8.294,0,0.044,0.109,0.881,0.132,0.627,130.007,4
spotify:track:5kxadTW0raO2u6QNkRhg9E,"Karma King","Cracked","StreamBeats by Harris Heller",2021-07-14,152275,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.734,0.717,7,-10.114,0,0.0501,0.0764,0.824,0.155,0.669,144.977,4
spotify:track:0BD4idFxLNd3Ge2m9y3hHo,"Catch The Fear","Cracked","StreamBeats by Harris Heller",2021-07-14,140000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.56,0.439,1,-9.387,1,0.133,0.00737,0.835,0.106,0.358,192.011,4
spotify:track:5oB2TWrkVHQIBdosTjvxk4,"Down The Rabbit Hole","Cracked","StreamBeats by Harris Heller",2021-07-14,130588,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.806,0.692,7,-9.493,1,0.0464,0.573,0.921,0.0884,0.515,135.993,4
spotify:track:53RrmnJVb0lkEVRL3S93tj,"Walking in a Dream","Cracked","StreamBeats by Harris Heller",2021-07-14,158961,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.621,0.674,2,-9.836,1,0.0316,0.00108,0.847,0.139,0.273,153.988,4
spotify:track:2opRoQlR6RaUQAYDsZQs7H,"Atrophy","Cracked","StreamBeats by Harris Heller",2021-07-14,155520,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.667,0.589,10,-9.009,1,0.0296,0.123,0.926,0.34,0.673,125.063,4
spotify:track:1XXaWVC2klwUWGSICtpJIR,"Take Flight","Cracked","StreamBeats by Harris Heller",2021-07-14,160000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.62,0.492,8,-7.12,0,0.0514,0.0314,0.948,0.146,0.497,179.967,3
spotify:track:4AnB8kXehFKdiIFkFMoJDU,"No Fly Zone","Cracked","StreamBeats by Harris Heller",2021-07-14,134400,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.739,0.552,9,-6.045,1,0.0745,0.000516,0.763,0.15,0.332,150.019,4
spotify:track:3cbhkJKH6VXLvsB8qWnI2i,"Stop The Clock","Cracked","StreamBeats by Harris Heller",2021-07-14,127792,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.667,0.655,1,-8.33,1,0.0616,0.00961,0.825,0.0413,0.98,153.95,4
spotify:track:1ha6Ovv8gNOb5RTNGhHAoK,"Major Glitch","Cracked","StreamBeats by Harris Heller",2021-07-14,147555,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.894,0.561,8,-7.095,0,0.102,0.00306,0.857,0.303,0.839,135.032,4
spotify:track:02hZYwjMbJtUaIxHdHSGTC,"Rise Up","Cracked","StreamBeats by Harris Heller",2021-07-14,151181,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.725,0.629,10,-6.489,0,0.0452,0.00386,0.932,0.101,0.271,126.999,4
spotify:track:203lcxWk62XBxuPLPTnvZE,"No Introduction","Cracked","StreamBeats by Harris Heller",2021-07-14,128780,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.88,0.597,8,-6.472,1,0.271,0.0121,0.734,0.106,0.578,164.012,4
spotify:track:771US7UEVSRj6fJSJRSBTB,"Chrono Logic","Recon","StreamBeats by Harris Heller",2021-07-14,170434,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.781,0.633,1,-6.042,1,0.0526,0.0154,0.958,0.0647,0.384,138.106,4
spotify:track:6BxVM7dyQJIpLybKqQ2HFp,"City Lights","Recon","StreamBeats by Harris Heller",2021-07-14,152275,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.837,0.718,1,-8.59,0,0.259,0.00912,0.467,0.0883,0.384,145.072,4
spotify:track:3P7UpFEZBUIk72DRdhzq15,"Desensitized","Recon","StreamBeats by Harris Heller",2021-07-14,127448,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.685,0.617,1,-9.727,1,0.0364,0.0022,0.838,0.254,0.646,144.927,4
spotify:track:3hvUXztOfuLyAjRE0bwohW,"Exist For This","Recon","StreamBeats by Harris Heller",2021-07-14,134117,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.759,0.467,0,-14.292,0,0.0824,0.265,0.954,0.402,0.421,136.018,4
spotify:track:6IUXLnBCASmJvcPDzVTW3h,"Love to See It","Recon","StreamBeats by Harris Heller",2021-07-14,130369,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.719,0.466,11,-8.632,1,0.0552,0.78,0.847,0.11,0.583,81.002,4
spotify:track:2MhE4BnpX1TYW31UbbCJjy,"Only End","Recon","StreamBeats by Harris Heller",2021-07-14,143505,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.401,0.765,2,-9.678,1,0.0681,0.0422,0.9,0.384,0.184,194.136,4
spotify:track:6bUtslFyi69aYss9d8mdUG,"Spring Leaves","Recon","StreamBeats by Harris Heller",2021-07-14,144000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.78,0.449,7,-9.025,0,0.125,0.00202,0.529,0.113,0.413,160.001,4
spotify:track:0nucObZwMkCRnU4KRTFBzy,"Tasty Motion","Recon","StreamBeats by Harris Heller",2021-07-14,156521,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.693,0.736,1,-8.734,1,0.0587,0.0108,0.684,0.493,0.448,92.008,4
spotify:track:1egQJuJYS8WChJ3VdZaG3T,"The Score","Recon","StreamBeats by Harris Heller",2021-07-14,140000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.703,0.798,11,-8.262,0,0.0355,0.00422,0.775,0.171,0.747,120.004,4
spotify:track:2SiOMkMUtIcbA0l14w14FJ,"Don't Need Destiny","Recon","StreamBeats by Harris Heller",2021-07-14,111000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.733,0.766,11,-11.123,0,0.125,0.00367,0.842,0.0776,0.795,160.011,4
spotify:track:4Bxvz6HeciDuN7hMcLkGyF,"Discover Trip","Recon","StreamBeats by Harris Heller",2021-07-14,134400,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.705,0.521,10,-13.759,0,0.0695,0.08,0.823,0.325,0.773,149.979,4
spotify:track:4Oh8Yacup3ExfvXjautAB3,"Ease Off","Recon","StreamBeats by Harris Heller",2021-07-14,123692,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.527,0.809,1,-9.23,0,0.0417,0.000274,0.842,0.194,0.311,130.047,4
spotify:track:6X2Bhs9WZnx0JAmZhLzDIw,"All In","Recon","StreamBeats by Harris Heller",2021-07-14,125490,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.739,0.752,0,-7.096,1,0.0996,0.246,0.911,0.0899,0.581,153.031,4
spotify:track:5A12Nf2F7isZIG4s5jDb11,"Time to Fade","Recon","StreamBeats by Harris Heller",2021-07-14,148500,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.667,0.771,2,-6.211,1,0.048,0.00279,0.846,0.138,0.436,160.028,4
spotify:track:1F2E7vfL26pi115N8tV6x2,"Earn It","Recon","StreamBeats by Harris Heller",2021-07-14,149052,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.697,0.502,7,-6.494,1,0.0783,0.0977,0.764,0.11,0.442,94.979,4
spotify:track:2I4Uz4BDa8Y6UXXjPPLPDK,"New World","Recon","StreamBeats by Harris Heller",2021-07-14,130434,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.602,0.667,7,-10.457,1,0.0394,0.107,0.763,0.243,0.424,91.994,4
spotify:track:2Oxf8amiNvxj5oyWACK1My,"Cover Talk","Recon","StreamBeats by Harris Heller",2021-07-14,131464,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.73,0.64,11,-10.533,0,0.0517,0.0813,0.889,0.111,0.508,157.084,4
spotify:track:2dTMHeK0kvC5EP7ssOjeey,"Need Cash","Recon","StreamBeats by Harris Heller",2021-07-14,131555,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.861,0.626,0,-9.841,0,0.0432,0.202,0.455,0.101,0.566,134.991,3
spotify:track:4CIZHVkL8M096FuVKm2Au4,"Near Madness","Recon","StreamBeats by Harris Heller",2021-07-14,134285,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.61,0.564,11,-7.241,0,0.065,0.0271,0.909,0.327,0.453,168.107,4
spotify:track:4MlAB18hJbHRV5Jwz5u89I,"Lose It","Legend","StreamBeats by Harris Heller",2021-07-14,130988,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.671,0.873,8,-6.776,0,0.0578,0.00459,0.892,0.0716,0.662,170.022,4
spotify:track:2BsIcvCV47jDhW8ExUGd5K,"Sinking In","Legend","StreamBeats by Harris Heller",2021-07-14,128078,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.719,0.893,4,-7.859,0,0.0513,0.0268,0.915,0.103,0.607,159.997,4
spotify:track:7rWqa8kz52EHW8oZls6C3L,"Up and Down","Legend","StreamBeats by Harris Heller",2021-07-14,154838,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.753,0.743,10,-6.769,0,0.0471,0.00779,0.908,0.109,0.106,155.04,4
spotify:track:3WOC85b75PxPOzkSLMfbQj,"Respect First","Legend","StreamBeats by Harris Heller",2021-07-14,150857,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.796,0.528,0,-8.248,1,0.0612,0.0675,0.823,0.109,0.135,139.968,4
spotify:track:3nqwgOU5Ng85qxnyt1l3Iv,"24K Choices","Legend","StreamBeats by Harris Heller",2021-07-14,132050,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.669,0.67,1,-7.877,1,0.0452,0.000283,0.858,0.0979,0.539,159.997,4
spotify:track:0L87KbNduTSVXrZBRj77dA,"Out of Touch","Legend","StreamBeats by Harris Heller",2021-07-14,121714,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.578,0.899,9,-6.509,0,0.085,0.008,0.845,0.398,0.345,139.945,4
spotify:track:5DujCHo0kxKRCK1cEkOOVO,"Sampled Heat","Legend","StreamBeats by Harris Heller",2021-07-14,121846,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.633,0.734,5,-7.902,0,0.0406,0.015,0.825,0.107,0.432,129.981,4
spotify:track:413ZLPl76jnknH9yBOCpZp,"Easy Game","Legend","StreamBeats by Harris Heller",2021-07-14,153822,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.819,0.541,4,-5.221,0,0.0558,0.0384,0.181,0.107,0.0655,78,4
spotify:track:1eknCvpLkzbEDq5EoAvAKh,"Empty Chaos","Legend","StreamBeats by Harris Heller",2021-07-14,134400,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.628,0.859,8,-6.777,1,0.0386,0.00109,0.903,0.123,0.353,149.983,4
spotify:track:1qYt9J8xCF5LFi1vALNGMa,"Speeding Train","Legend","StreamBeats by Harris Heller",2021-07-14,120816,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.568,0.59,1,-10.02,0,0.0349,0.0646,0.765,0.275,0.379,147.015,4
spotify:track:0UXAiOV84OiGQzEcr9pdD9,"Tide Effects","Legend","StreamBeats by Harris Heller",2021-07-14,111592,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.747,0.845,8,-6.951,0,0.064,0.00726,0.694,0.11,0.541,157.017,4
spotify:track:0JDW7yMsgyNFZpIq6jOyZm,"Twisted Up","Legend","StreamBeats by Harris Heller",2021-07-14,136551,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.685,0.765,8,-6.773,1,0.0399,0.00137,0.792,0.091,0.612,144.989,4
spotify:track:68s7PLg0yBhWaIXtEZqllo,"Time Vector","Legend","StreamBeats by Harris Heller",2021-07-14,132975,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.722,0.592,11,-4.959,1,0.0408,0.00126,0.81,0.111,0.356,150.087,4
spotify:track:66B8uWt71wUcp5XrjFo3Tx,"Uncertainty","Legend","StreamBeats by Harris Heller",2021-07-14,116026,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.679,0.622,4,-7.089,0,0.054,0.172,0.888,0.115,0.765,151.005,4
spotify:track:4J07wccXu9WGcdmoKBWI23,"Lay Back","Legend","StreamBeats by Harris Heller",2021-07-14,124558,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.733,0.63,2,-7.28,1,0.0748,0.0195,0.875,0.103,0.931,157.963,4
spotify:track:5VzanNHocoPyTQsXcnWEkk,"Regenerate","Legend","StreamBeats by Harris Heller",2021-07-14,125454,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.733,0.869,1,-4.517,1,0.056,0.0028,0.431,0.158,0.372,87.99,4
spotify:track:0zxOiIUphRKlnU2ZEMoO1H,"Quantum State","Legend","StreamBeats by Harris Heller",2021-07-14,135500,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.825,0.743,4,-7.397,0,0.0684,0.353,0.781,0.0936,0.466,75.008,4
spotify:track:2Kln3XYGYStZrJD7zZLDBM,"Takin Out The Trash","Legend","StreamBeats by Harris Heller",2021-07-14,146526,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.848,0.446,8,-7.977,1,0.0447,0.0119,0.542,0.169,0.33,95.012,4
spotify:track:6Q9mX5n6Gbi2H4Z45gaREm,"Exit The Donut","Legend","StreamBeats by Harris Heller",2021-07-14,135000,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.783,0.338,6,-9.329,0,0.162,0.00188,0.95,0.109,0.388,160.029,4
spotify:track:4irUl8XKOVG9i8TzncLxPF,"Let's Move On","Legend","StreamBeats by Harris Heller",2021-07-14,138227,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.713,0.672,9,-8.35,1,0.0481,0.0517,0.606,0.0928,0.342,158.024,4
spotify:track:6kvBgdeczY85KL2wqj6PlK,"Hard Way","Legend","StreamBeats by Harris Heller",2021-07-14,135724,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.688,0.868,11,-8.362,0,0.0444,0.151,0.698,0.094,0.459,144.998,4
spotify:track:0kVayguk2WFhx6J5hJU4Za,"Consider It","Legend","StreamBeats by Harris Heller",2021-07-14,128623,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.727,0.805,0,-7.009,1,0.0685,0.0581,0.815,0.143,0.584,80.014,4
spotify:track:1jZWVYEZOtCo7L6DlKHh3e,"Neutralize","Bounce","StreamBeats by Harris Heller",2021-11-08,138067,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.406,0.863,2,-9.78,1,0.0683,0.091,0.901,0.138,0.131,199.97,4
spotify:track:0Si2MURG5YlLOfskp8aWtO,"Maze Runnin","Bounce","StreamBeats by Harris Heller",2021-11-08,151111,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.553,0.724,5,-8.976,1,0.0362,0.000626,0.896,0.198,0.439,161.898,4
spotify:track:31Q9oQL6Lnjj8wP691qFgM,"Solo","Bounce","StreamBeats by Harris Heller",2021-11-08,129229,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.581,0.567,8,-8.631,1,0.0347,0.000898,0.676,0.781,0.306,156.034,4
spotify:track:6Afg41y4defSp6uapZmdYX,"Watch Me Rise","Bounce","StreamBeats by Harris Heller",2021-11-08,124444,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.746,0.776,2,-6.881,1,0.16,0.0028,0.908,0.386,0.489,162.053,4
spotify:track:5fPRBIsu4ERxMRYqoBtMvV,"Part Time Hustle","Bounce","StreamBeats by Harris Heller",2021-11-08,156144,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.507,0.605,7,-9.104,1,0.0385,0.00739,0.868,0.298,0.52,166.06,4
spotify:track:6kC9cTVcoId4e38xoRr5wv,"Sleeping Giant","Bounce","StreamBeats by Harris Heller",2021-11-08,130058,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.76,0.777,8,-7.505,1,0.161,0.045,0.844,0.125,0.676,169.988,5
spotify:track:72amamGUMInVYZtg1cT5Tj,"All Thrill No Chill","Bounce","StreamBeats by Harris Heller",2021-11-08,134482,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.805,0.792,10,-9.111,1,0.0386,0.403,0.908,0.174,0.758,115.979,4
spotify:track:5VJqMOLCGVTg03PdP3lWvX,"Underground","Bounce","StreamBeats by Harris Heller",2021-11-08,135348,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.632,0.806,6,-9.713,0,0.0487,0.00924,0.861,0.123,0.648,172.037,4
spotify:track:4r9pAPEKbn39IGBOQbWmzr,"No Filter","Bounce","StreamBeats by Harris Heller",2021-11-08,139726,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.771,0.541,5,-8.739,0,0.0733,0.00651,0.891,0.102,0.584,146.007,4
spotify:track:6w63SJxXKva4TNbnfQHrKT,"Undetected","Bounce","StreamBeats by Harris Heller",2021-11-08,144878,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.724,0.484,1,-10.506,1,0.0699,0.00107,0.581,0.116,0.362,163.986,4
spotify:track:3NmqUUoGWpKvHclSif864j,"One Team","Bounce","StreamBeats by Harris Heller",2021-11-08,148965,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.697,0.718,2,-10.237,1,0.0706,0.299,0.873,0.133,0.542,173.975,4
spotify:track:2vYcEr3hFc9Z4MKOoVrxjX,"On The Line","Bounce","StreamBeats by Harris Heller",2021-11-08,139759,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.706,0.588,2,-9.834,1,0.0532,0.0835,0.872,0.134,0.182,103.99,4
spotify:track:1etMqQRZarEWsIGviuHuSJ,"Grey Area","Bounce","StreamBeats by Harris Heller",2021-11-08,155294,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.88,0.339,1,-13.4,1,0.0612,0.0427,0.704,0.318,0.288,135.996,4
spotify:track:12SKb0vaixVMvDxhLgrqVv,"Smooth Deception","Bounce","StreamBeats by Harris Heller",2021-11-08,133170,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.567,0.872,11,-6.833,0,0.0307,0.000221,0.884,0.151,0.132,82.002,4
spotify:track:3ehDdNrXDG4YpOzNscKL2X,"The Impact","Bounce","StreamBeats by Harris Heller",2021-11-08,129696,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.765,0.58,2,-11.703,1,0.0606,0.0039,0.906,0.19,0.552,99.04,4
spotify:track:5daH7xmk57DYm1OxiDBFri,"Aftershock","Bounce","StreamBeats by Harris Heller",2021-11-08,142941,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.781,0.632,11,-8.586,0,0.0366,0.102,0.818,0.129,0.55,136,4
spotify:track:2h3UyZwIBjaaHs5ON98aF9,"Higher Frequency","Bounce","StreamBeats by Harris Heller",2021-11-08,128571,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.793,0.673,1,-7.463,1,0.0719,0.0792,0.929,0.122,0.222,139.975,4
spotify:track:406EKp8YKmyUPp6JegQE46,"All Tied Up","Bounce","StreamBeats by Harris Heller",2021-11-08,142745,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.761,0.539,10,-12.086,0,0.113,0.0284,0.9,0.123,0.598,152.988,4
spotify:track:4K0FpmGel8hSRcMDEi3RAR,"Violet Haze","Bounce","StreamBeats by Harris Heller",2021-11-08,126923,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.786,0.653,7,-8.674,1,0.0829,0.0877,0.925,0.111,0.222,104.025,4
spotify:track:1WWOs7Wf3Jgw1fuLfJ3Gf3,"Clever Defeat","Bounce","StreamBeats by Harris Heller",2021-11-08,107526,0,false,3goqul1iqkj8a3ka2s0a07ptr,2024-05-02T18:02:29Z,"lo-fi,synthwave","Senpai Records",0.718,0.868,10,-9.387,0,0.0462,0.0603,0.621,0.172,0.793,157.862,4
